number,title,doi,zenodo_id,slug,portfolios,tags,explainer,status,notes
200,The Fano-Foam Manifold,10.5281/zenodo.19869263,19869263,10.5281-zenodo.19869263,B,foundations|geometry|fano|g2,True,published,
201,The Maslov-Gibbs Einsum (MGE),10.5281/zenodo.17981393,17981393,10.5281-zenodo.17981393,A,core-engine|optimisation|ai-ml|tropical,True,published,
202,Topological Resonance Synthesis (TRS),10.5281/zenodo.19858021,19858021,10.5281-zenodo.19858021,A,core-engine|optimisation|ai-ml|geometry,True,published,
203,The Unitary Resonance Network (URN),10.5281/zenodo.20086746,20086746,10.5281-zenodo.20086746,C,hardware-ai|ai-ml|continual-learning,True,published,
205,The Resonance Processing Unit (RPU),10.5281/zenodo.19743800,19743800,10.5281-zenodo.19743800,C,hardware-ai|qec|hardware,True,published,
206,Fibrational Tensor Codes (FTCs),10.5281/zenodo.19821692,19821692,10.5281-zenodo.19821692,C,hardware-ai|qec|fano|g2,True,published,
207,The 731-Calculus (Part 1),10.5281/zenodo.19713350,19713350,10.5281-zenodo.19713350,B,foundations|geometry|fano|category-theory,True,published,
208,The Magmoidal Cipher,10.5281/zenodo.19826357,19826357,10.5281-zenodo.19826357,D,protocols|cryptography|post-quantum,False,published,
209,Nuclear Magic Numbers and Exceptional Lie Algebras,10.5281/zenodo.19960385,19960385,10.5281-zenodo.19960385,B,foundations|g2|octonions|number-theory,False,published,
210,"Electron Shell Structure and Exceptional Lie Algebras: Shell Capacities, the Division Algebra Ladder, and the Lanthanide Contraction as G₂ Rigidity",10.5281/zenodo.19964651,19964651,10.5281-zenodo.19964651,B,foundations|g2|octonions,False,published,
211,Non-Associative Calculus,10.5281/zenodo.20025384,20025384,10.5281-zenodo.20025384,A|B,foundations|core-engine|calculus|g2|octonions,True,published,
212,"Geometric Code Switching: PG(2,2) → PG(3,2) Projective Envelopes, Transversal CCZ, and a Geometric Primitive for Grover's Diffusion Operator",10.5281/zenodo.19929360,19929360,10.5281-zenodo.19929360,C,hardware-ai|qec|fano|hardware,False,published,
217,Fibrational Lattice Surgery (FLS),10.5281/zenodo.19922441,19922441,10.5281-zenodo.19922441,C,hardware-ai|qec|hardware,True,published,
218,Thermodynamic Routing of Stale Gradients,10.5281/zenodo.20077198,20077198,10.5281-zenodo.20077198,C,hardware-ai|ai-ml|optimisation|distributed,True,published,
219,"An Adelic Invitation: Observations on Non-Associativity, Division Algebras, and the Next Computational Paradigm",10.5281/zenodo.19977475,19977475,10.5281-zenodo.19977475,B,foundations|octonions|calculus,False,published,
221,Non-Associative Information Geometry,10.5281/zenodo.20076498,20076498,10.5281-zenodo.20076498,C,hardware-ai|ai-ml|geometry|fano,False,published,
222,Non-Associative Quantum Error Correction (NA-QEC): The Exceptional Jordan-KL Condition and Rank-1 Idempotents in G₂ Topologies,10.5281/zenodo.20088536,20088536,10.5281-zenodo.20088536,C|F,qec|quantum-foundations|g2|octonions,False,published,
223,"Fano Resonance Networks (Fano-RNs): The Associator Correction Tensor, Malcev Gradients, and a Convergence Theorem for Non-Associative Backpropagation",10.5281/zenodo.20088805,20088805,10.5281-zenodo.20088805,A|C,ai-ml|fano|g2|optimisation,False,published,
240,The Riemann Spectrometer,10.5281/zenodo.19824028,19824028,10.5281-zenodo.19824028,E,grand-challenges|number-theory|riemann|g2,True,published,
258,The Origami ISA,10.5281/zenodo.19916429,19916429,10.5281-zenodo.19916429,C,hardware-ai|hardware|instruction-set|fano,True,published,
263,The Architecture of Inevitability,10.5281/zenodo.19928880,19928880,10.5281-zenodo.19928880,B,foundations|geometry|magic-square|octonions,True,published,
265,The ζ(21) Apéry Ladder,10.5281/zenodo.20029647,20029647,10.5281-zenodo.20029647,E,grand-challenges|number-theory|recurrence|g2,True,published,
266,Geometric Shadows in Apéry's Polynomial,10.5281/zenodo.20031913,20031913,10.5281-zenodo.20031913,E,grand-challenges|number-theory|recurrence|g2,True,published,
267,"The Fano-SYK Model: Bruhat-Tits Buildings, Non-Associative Fermionic Couplings, and the Geometric Impedance of Pre-Thermal Scrambling",10.5281/zenodo.20057808,20057808,10.5281-zenodo.20057808,B|F,quantum-foundations|fano|g2|number-theory,False,published,
268,"The Spacelike Associator Paradox: Sequential Quantum Channels, Non-Associative Measurement Back-Action, and the Causal Firewall of the G₂ Vacuum",10.5281/zenodo.20058013,20058013,10.5281-zenodo.20058013,F,quantum-foundations|fano|g2,False,published,
269,Hardy's Paradox and the Fano Associator: A Geometric Diagnosis of Quantum Contextuality,10.5281/zenodo.20058083,20058083,10.5281-zenodo.20058083,F,quantum-foundations|fano|contextuality,False,published,
270,The Fano Monogamy Paradox,10.5281/zenodo.20058092,20058092,10.5281-zenodo.20058092,F,quantum-foundations|entanglement|fano,True,published,
271,"The Self-Dual G₂ Architecture: Pachner Unitarity, CSS Symmetry, and the Crystal Spectrum Halving",10.5281/zenodo.20101634,20101634,10.5281-zenodo.20101634,B|C,foundations|fano|g2|hardware,False,published,
272,The Non-Associative No-Cloning Theorem and the Fano-Token,10.5281/zenodo.20100531,20100531,10.5281-zenodo.20100531,D|F,quantum-foundations|cryptography|fano|octonions,False,published,
273,"Non-Associative Knowledge Hypergraphs: Fano-Structured RAG, Irreducible Ternary Relations, and Thermodynamic Retrieval via the MGE Router",10.5281/zenodo.20060286,20060286,10.5281-zenodo.20060286,A|C,ai-ml|fano|thermodynamics|optimisation,False,published,
274,"The Quaternionic Virtual Machine (Q-VM): Quaternionic Chirality, Spinorial Routing, and the Causal Firewall of the R-C-H-O Operating System",10.5281/zenodo.20060303,20060303,10.5281-zenodo.20060303,C,hardware-ai|hardware|octonions,False,published,
275,Volume of Thought (VoT) and Topological Agentic Swarms: Scaling Multi-Agent AI from Temporal Concurrency to Geometric Contradiction via the MGE Router,10.5281/zenodo.20059019,20059019,10.5281-zenodo.20059019,A|C,ai-ml|thermodynamics|optimisation,False,published,
281,The 731 Frog Calculus (Part 2),10.5281/zenodo.20139448,20139448,10.5281-zenodo.20139448,B,foundations|geometry|fano|category-theory,True,published,
285,G₂-Symmetric Stabilisation of Magnetic Hopfions: A Fano-Constraint Conjecture and Topological Ground State Computation,10.5281/zenodo.20127776,20127776,10.5281-zenodo.20127776,B,foundations|fano|g2|octonions,False,published,
286,Conserved Computation,10.5281/zenodo.20127517,20127517,10.5281-zenodo.20127517,A,core-engine|geometry|noether|g2,True,published,
289,The Temperature of Rationality: Maslov-Gibbs Ensemble as a Foundation for Heterogeneous-Agent Economics,10.5281/zenodo.20234841,20234841,10.5281-zenodo.20234841,G,economics|thermodynamics|agent-based-models|ai-ml,True,published,
291,The Topology of Conservation: Double-Entry Accounting as a Discrete Gauge Theory of Macroeconomics,10.5281/zenodo.20234853,20234853,10.5281-zenodo.20234853,G,economics|gauge-theory|topology|thermodynamics,True,published,
292,Beyond DAGs: A Non-Associative Algebra of Policy Interventions,10.5281/zenodo.20234870,20234870,10.5281-zenodo.20234870,G,economics|non-associative-algebra|causality,True,published,
293,"Thermal Attribution: Differentiable Shapley Values, Latent Bottlenecks, and the Tropical Limit of Cooperative Game Theory",10.5281/zenodo.20236870,20236870,10.5281-zenodo.20236870,G,economics|thermodynamics|attribution|ai-ml,True,published,
294,"Thermodynamic Information Routing: A Unified Framework for Gibbs Aggregation Across Economics, Computation, and Knowledge Retrieval",10.5281/zenodo.20237288,20237288,10.5281-zenodo.20237288,G|A,economics|thermodynamics|information-routing|ai-ml,True,published,
295,Currency Bundles: Foreign Exchange as Connection Curvature on the Pacioli Manifold,10.5281/zenodo.20242355,20242355,10.5281-zenodo.20242355,G,economics|gauge-theory|foreign-exchange|curvature,True,published,
296,Term Structure Bundles: Interest Rates as Temporal Connections on the Pacioli Manifold,10.5281/zenodo.20244445,20244445,10.5281-zenodo.20244445,G,economics|gauge-theory|interest-rates|term-structure,True,published,
297,The Geometry of the Euler–Mascheroni Constant,10.5281/zenodo.20139443,20139443,10.5281-zenodo.20139443,E,number-theory|geometry|thermodynamics|holonomy,True,published,
298,Credit Bundles: Survival Probabilities as Parallel Transport on the Pacioli Manifold,10.5281/zenodo.20257596,20257596,10.5281-zenodo.20257596,G,economics|gauge-theory|credit-risk|parallel-transport,True,published,
299,Valuation Adjustments as Curvature: XVA in Financial Gauge Theory,10.5281/zenodo.20257724,20257724,10.5281-zenodo.20257724,G,economics|gauge-theory|xva|curvature,True,published,
300,"Economic Gauge Theory: Stock-Flow Consistency, Thermodynamic Constraints, and Climate Risk on the Pacioli Manifold",10.5281/zenodo.20259495,20259495,10.5281-zenodo.20259495,G,economics|gauge-theory|stock-flow-consistency|climate,True,published,
301,A Primer on Economic Gauge Theory,10.5281/zenodo.20259505,20259505,10.5281-zenodo.20259505,G,economics|gauge-theory|thermodynamics,True,published,
305,Differentiable Agent-Based Macroeconomics: A Gauge-Theoretic Digital Twin on the Pacioli Manifold,10.5281/zenodo.20261945,20261945,10.5281-zenodo.20261945,G,economics|agent-based-models|differentiable-programming|ai-ml,True,published,
306,The Pacioli Combinator Library: A Universal Domain-Specific Language for Financial and Economic Computation,10.5281/zenodo.20262070,20262070,10.5281-zenodo.20262070,G,economics|dsl|programming|gauge-theory,True,published,
309,Temperature Without Thermodynamics: The Missing Free Energy Principle in Deep Learning,10.5281/zenodo.20269977,20269977,10.5281-zenodo.20269977,A|C,ai-ml|thermodynamics|optimisation,False,published,
310,In Praise of Qudits: Why Higher-Dimensional Quantum Systems Deserve Centre Stage,10.5281/zenodo.20269991,20269991,10.5281-zenodo.20269991,F|C,quantum-foundations|hardware|qec,False,published,
311,"The Climate Hazard Yield Surface: A Geometric Framework for the Economics of Climate Action, with Per-Household Dollar Translation and the Doomsday Clock Isocurve",10.5281/zenodo.20291646,20291646,10.5281-zenodo.20291646,G,economics|climate|policy|gauge-theory,True,published,
312,Stochastic Tipping Points and the Option Value of Early Climate Investment,,,,G,economics|climate|stochastic|real-options,False,draft,
313,Thermal Economics: Implicit Differentiation Through Fixed Points as a Unifying Schema for Differentiable Economics,10.5281/zenodo.20318505,20318505,10.5281-zenodo.20318505,G,economics|thermodynamics|differentiable-programming|ai-ml,False,published,
314,SoftLeontief: Differentiable Input-Output Analysis and Supply-Chain Reverse Stress Testing,,,,G,economics|differentiable-programming|supply-chain|leontief,False,draft,
315,"Differentiable Nash Equilibria: Quantal Response Equilibrium as Implicit Differentiation Through a Game-Theoretic Fixed Point, with Applications to Coalition Stability and Climate Policy Design",10.5281/zenodo.20318527,20318527,10.5281-zenodo.20318527,G,economics|game-theory|differentiable-programming|climate,False,published,
316,EconIAC: MONIAC for the 21st Century — Differentiable Macroeconomics via the Gibbs Ensemble,10.5281/zenodo.20315689,20315689,10.5281-zenodo.20315689,G,economics|differentiable-programming|thermodynamics|agent-based-models,False,published,
317,"The G₂ Boltzmann Machine: Reviving Thermodynamic Learning via MGE, Fano Couplings, and RSB Memory",10.5281/zenodo.20319577,20319577,10.5281-zenodo.20319577,B,fano|g2|ai-ml|thermodynamics,False,published,
318,"Virtual Monopoles in the FeMo-Cofactor: G₂ Symmetry, Non-Associative Bond Breaking, and Nitrogenase as a Pachner-Move Computer",10.5281/zenodo.20346650,20346650,10.5281-zenodo.20346650,B,fano|g2|octonions|biophysics,True,published,
